system:index,NO2_area_mean_mol_per_m2,NO2_population_weighted_exposure_mol_per_m2,end_date,population_year_used,port_name,start_date,total_population,year,.geo
0000000000000000000c_0,4.162608923909181E-5,1.1855999153220273E-4,2019-01-01,2018.0,Keelung,2018-12-05,1937.0060684148734,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_1,2.9905163443254627E-5,6.63229038492978E-5,2020-01-01,2019.0,Keelung,2019-01-01,1949.846984358084,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_2,2.875194463863299E-5,6.438233171069511E-5,2021-01-01,2020.0,Keelung,2020-01-01,1970.8686360267882,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_3,3.164227313695312E-5,7.789133182255205E-5,2022-01-01,2020,Keelung,2021-01-01,1970.8686360267882,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_4,2.980750385943211E-5,7.5062133712793E-5,2023-01-01,2020,Keelung,2022-01-01,1970.8686360267882,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_5,3.400394835220324E-5,8.559887027845022E-5,2024-01-01,2020,Keelung,2023-01-01,1970.8686360267882,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_6,3.191174178352228E-5,7.316903564985028E-5,2025-01-01,2020,Keelung,2024-01-01,1970.8686360267882,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_7,3.1019345355885744E-5,7.128229344696462E-5,2026-01-01,2020,Keelung,2025-01-01,1970.8686360267882,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_0,3.218037164332485E-5,3.579825500424984E-5,2019-01-01,2018.0,Mongla,2018-12-05,3864.411173393449,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_1,2.6682266577824986E-5,3.0076400086079258E-5,2020-01-01,2019.0,Mongla,2019-01-01,3886.5675889042086,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_2,2.757025580652427E-5,3.1011459276872696E-5,2021-01-01,2020.0,Mongla,2020-01-01,3902.128192957066,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_3,3.269941353323002E-5,3.778320966493901E-5,2022-01-01,2020,Mongla,2021-01-01,3902.128192957066,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_4,3.158169822986059E-5,3.6114496621624724E-5,2023-01-01,2020,Mongla,2022-01-01,3902.128192957066,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_5,3.1953308926026786E-5,3.646151000434051E-5,2024-01-01,2020,Mongla,2023-01-01,3902.128192957066,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_6,3.027436761177506E-5,3.3925543241309566E-5,2025-01-01,2020,Mongla,2024-01-01,3902.128192957066,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_7,2.9988825425910824E-5,3.344597365433406E-5,2026-01-01,2020,Mongla,2025-01-01,3902.128192957066,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_0,2.0842139727743773E-4,2.2675425311895097E-4,2019-01-01,2018.0,Lianyungang,2018-12-05,2042.33026314816,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_1,1.0921275142342873E-4,1.2114116133015145E-4,2020-01-01,2019.0,Lianyungang,2019-01-01,2036.3950379319633,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_2,1.08033506790271E-4,1.2431312204132E-4,2021-01-01,2020.0,Lianyungang,2020-01-01,2031.1424781392318,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_3,1.3015975981530927E-4,1.491939334602132E-4,2022-01-01,2020,Lianyungang,2021-01-01,2031.1424781392318,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_4,1.0376426318700561E-4,1.1601999866960628E-4,2023-01-01,2020,Lianyungang,2022-01-01,2031.1424781392318,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_5,1.1111099002005152E-4,1.2535512235519792E-4,2024-01-01,2020,Lianyungang,2023-01-01,2031.1424781392318,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
