system:index,SO2_area_mean_mol_per_m2,SO2_population_weighted_exposure_mol_per_m2,end_date,population_year_used,port_name,start_date,total_population,year,.geo
0000000000000000000c_3,4.72731987750497E-5,3.348177670925146E-5,2022-01-01,2020,Keelung,2021-01-01,1970.8686360267882,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_4,4.837792920678435E-5,4.892340975756029E-5,2023-01-01,2020,Keelung,2022-01-01,1970.8686360267882,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_5,3.2350062694055046E-5,3.569408800539496E-5,2024-01-01,2020,Keelung,2023-01-01,1970.8686360267882,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_6,3.908503002104878E-5,2.6829465808253914E-5,2025-01-01,2020,Keelung,2024-01-01,1970.8686360267882,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_7,1.2241487528149556E-5,1.475803468242547E-5,2026-01-01,2020,Keelung,2025-01-01,1970.8686360267882,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_0,1.8740235523255345E-4,1.9554330230579081E-4,2019-01-01,2018.0,Mongla,2018-12-05,3864.411173393449,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_1,1.0150376258520223E-4,9.873767285919222E-5,2020-01-01,2019.0,Mongla,2019-01-01,3886.5675889042086,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_2,1.0379915359085413E-4,1.0347857562521718E-4,2021-01-01,2020.0,Mongla,2020-01-01,3902.128192957066,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_3,1.5653675316307857E-4,1.5617441702072223E-4,2022-01-01,2020,Mongla,2021-01-01,3902.128192957066,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_4,1.1846365938623277E-4,1.2033812716912842E-4,2023-01-01,2020,Mongla,2022-01-01,3902.128192957066,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_5,1.516571794394196E-4,1.537092933386966E-4,2024-01-01,2020,Mongla,2023-01-01,3902.128192957066,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
